Date,ABT,ABBV,ABMD,ABC,AMGN,ANTM,,,
19/06/2019,0.010908655,-0.008178914,-0.000662846,0.007138678,0.006387313,0.009503,,,
20/06/2019,0.007233487,0.009406004,0.015723761,-0.0058099,0.007167478,0.000549696,,,
21/06/2019,0.000706381,0.005616543,-0.016479084,-0.012856475,0.016460235,0.008687292,,,
24/06/2019,-0.003411765,-0.00418888,-0.011209186,-0.011129529,-0.012185346,-0.01099537,,,
25/06/2019,-0.005548341,-0.162523901,0.01536517,0.009099617,-0.002110047,-0.018414622,,,
26/06/2019,-0.015194682,0.03500761,-0.021162375,-0.005932606,-0.006885708,-0.022231573,,,
27/06/2019,0.008799421,0.029411765,0.013154757,0.022081642,0.004640498,0.012838904,,,
28/06/2019,0.004899032,0.038857143,0.021809909,-0.004320916,0.00141289,-0.000743573,,,
1/07/2019,0.004637337,0.009350935,0.017390303,0.003870514,0.011232906,0.001807165,,,
2/07/2019,0.005444431,0.011307902,-0.013319749,-0.001518869,0.001556211,-0.007286361,,,
3/07/2019,0.008122425,0.009834299,-0.000611878,0.024923941,0.010394342,0.007553624,,,
5/07/2019,-0.002568893,-0.026280683,0.000535721,0.004338395,-0.013999364,0.004526487,,,
8/07/2019,-0.003863264,-0.024249897,-0.014112518,-0.001591452,-0.019898892,0.00239386,,,
9/07/2019,0.002115407,0.00028082,-0.001862053,0.004554253,-0.003566725,-0.002036946,,,
10/07/2019,0.00129002,0.005755194,-0.005790906,0.012127394,0.0037447,0.013231982,,,
11/07/2019,0.004567814,-0.005722261,0.040186076,0.013773796,-0.023426784,0.055432064,,,
12/07/2019,-0.021569313,-0.013475576,-0.012777632,-0.007511322,-0.017247191,0.0217191,,,
15/07/2019,-0.001310772,-0.000142288,-0.008032281,0.000890373,0.006802721,-0.011691574,,,
16/07/2019,-0.007755638,-0.015796215,-0.026210761,-0.010341377,0.007665228,-0.004692847,,,
17/07/2019,0.031265031,-0.012145749,0.024866995,-0.039775281,-0.00231025,-0.002357487,,,
18/07/2019,0.023320896,-0.00102459,0.010420672,0.015211795,0.014006551,-0.000393843,,,
