Date,ATVI,ADBE,ADP,A,AKAM,ALGN,GOOGL,GOOG,AMZN,AMD,AME,ANSS,AON,AAPL,APTV,ANET
19/06/2019,-0.009613284,0.05213527,0.000178338,0.010290641,0.017126789,0.023374474,-0.00066049,-0.001150779,0.003902449,0.001642036,0.003352214,0.010698895,0.009835376,-0.002822012,0.000651042,0.004461335
20/06/2019,0.007500552,0.037430033,0.00808321,0.009222299,0.003769791,-0.003941517,0.007867742,0.008246169,0.004924586,-0.016065574,0.020506912,-0.001715266,0.007916667,0.008085709,0.021080026,0.022865603
21/06/2019,0.005255091,-0.009201946,-0.008549024,0.000272777,-0.016649975,-0.040957825,0.010932447,0.009411384,-0.003591928,-0.030323226,-0.009257169,-0.013451154,-0.007751137,-0.003609384,-0.000637186,0.01881634
24/06/2019,0.027009366,0.001804029,-0.002378687,-0.002727025,0.002418842,-0.004937227,-0.007704133,-0.005669056,0.001360331,0.005498282,0.001025524,0.002139729,0.007811686,-0.000804991,-0.001402703,-0.005209155
25/06/2019,-0.020148462,-0.039683863,-0.013352408,-0.008613618,-0.011811024,-0.021760703,-0.026076834,-0.02614924,-0.018616438,-0.01367054,-0.003301081,-0.02452952,-0.001395205,-0.01530715,-0.002553952,-0.022691209
26/06/2019,0.011471861,0.002604438,-0.016312228,-0.005102744,0.010281455,-0.028766031,-0.006675371,-0.006029364,0.010413838,0.036729037,0.0030836,0.011351489,-0.017386805,0.021681325,0.010369991,0.036369541
27/06/2019,0.011769741,0.015620671,0.007308684,0.014555032,0.010304033,0.00697553,-0.003415655,-0.003509909,0.003398618,0.027406417,0.004895821,0.01102275,0.014113434,-0.0002002,0.027116067,0.010496632
28/06/2019,-0.001692047,0.004842615,0.00804829,0.020221342,0.009065727,0.013891461,0.005730845,0.004553861,-0.005592665,-0.012036435,0.029231815,0.01966446,0.002129096,-0.009211053,-0.002837404,0.006356589
1/07/2019,0.006355932,0.021449177,0.00641142,0.014865408,0.002994759,-0.007380343,0.015884743,0.015764495,0.015082144,0.027329602,0.013980625,0.016062884,0.01119287,0.018391269,-0.001484597,0.012324757
2/07/2019,0.010105263,0.001395488,-0.026624196,-0.002243336,0.000995272,-0.002871025,0.011454545,0.012113484,0.006305308,0.001282051,-0.00966236,-0.00730383,0.004048376,0.00575511,-0.014000743,0.009435398
3/07/2019,0.014172572,0.014300408,0.013151395,0.015738659,0.010191399,0.015134736,0.009338486,0.009295838,0.002424637,-0.001600512,0.007564131,0.013262985,0.013014852,0.008287293,-0.003267153,0.01341776
5/07/2019,-0.010480888,-0.005626431,0.004570662,-0.013671875,0.005167323,-0.006218182,0.00861094,0.00892491,0.002016503,0.009939083,-0.008921771,0.000859886,-0.004534462,-0.000782779,-0.001638931,0.006991967
8/07/2019,-0.034890966,-0.003487072,-0.004671196,-0.025214521,-0.00624235,-0.003842073,-0.014011266,-0.013467775,0.004843251,0.017142857,-0.005379295,-0.007541406,-0.005617978,-0.020564042,-0.030559414,-0.010193529
9/07/2019,-0.002151926,0.004225538,-0.003230329,-0.00528169,0.002093854,0.011644138,0.006715676,0.007596184,0.018429356,0.034644195,-0.002538631,-0.005819266,0.000407187,0.0059988,-0.009118145,0.009552239
10/07/2019,0.010135864,0.009138725,0.006114712,-0.001089176,0.004547689,0.04081188,0.014782663,0.013913214,0.014640648,0.019306184,-0.008741839,0.013690015,0.00646146,0.009938382,0.019061391,-0.000591366
11/07/2019,0.010674637,0.002019676,0.004071958,-0.022216165,0.006851829,-0.014163614,0.002778484,0.003270553,-0.008099494,-0.021604025,0.000111632,0.008351229,-0.005965019,-0.007282031,0.002579979,0.005473373
12/07/2019,-0.00295733,0.005916775,-0.000484232,-0.00125453,0.002065865,0.004671078,0.001101322,0.000603036,0.004962345,0.004537205,0.015738364,0.004637956,0.004220911,0.007731959,0.031909418,0.0086803
15/07/2019,0.009745763,-0.002133023,-0.0007267,-0.015352408,0.012248363,0.001373675,0.004513943,0.004751507,0.004967678,0.035531466,-0.00021978,-0.006406633,0.000303844,0.009246508,0.00723192,0.0123979
16/07/2019,-0.01405791,-0.00991061,-0.004908793,-0.008504607,-0.001198035,-0.011361238,0.00256408,0.002816559,-0.00548741,-0.015702239,0.003517257,-0.005594538,-0.002278135,-0.00331384,-0.009779648,-0.007635787
17/07/2019,-0.006597148,0.012070658,0.007247259,-0.005146533,0.005517572,0.010104244,-0.00582595,-0.006267446,-0.00889099,-0.007385524,-0.022124863,-0.000190712,-0.011771869,-0.005671817,-0.020377547,0.006968641
